11:43:15.910 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8865691f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:43:42.921 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.21]
11:43:44.000 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
11:43:44.004 [main] INFO  o.s.w.c.ContextLoader - [prepareWebApplicationContext,283] - Root WebApplicationContext: initialization completed in 27061 ms
11:43:44.787 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11:43:44.962 [main] INFO  c.n.c.DynamicPropertyFactory - [getInstance,281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@e3692ca
11:43:57.879 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,56] - Init DruidDataSource
11:44:01.133 [main] INFO  c.a.d.p.DruidDataSource - [init,991] - {dataSource-1} inited
11:44:05.265 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,171] - Initializing ExecutorService 'taskScheduler'
11:44:13.143 [main] INFO  c.a.c.o.a.FeignAutoConfiguration - [feignFormEncoder,30] - FeignSpringFormEncoder [com.alps.common.oauth2.autoconfig.FeignSpringFormEncoder@7b6e196e]
11:44:13.231 [main] INFO  c.a.c.o.a.FeignAutoConfiguration - [feignRequestInterceptor,38] - FeignRequestInterceptor [com.alps.common.oauth2.feign.FeignRequestInterceptor@6101fd7d]
11:44:17.452 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11:44:19.810 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,171] - Initializing ExecutorService 'applicationTaskExecutor'
11:44:21.969 [main] INFO  c.a.c.o.a.AutoConfiguration - [paginationInterceptor,48] - PaginationInterceptor [AbstractSqlParserHandler(sqlParserList=null, sqlParserFilter=null)]
11:44:22.066 [main] INFO  c.a.c.o.a.AutoConfiguration - [springContextHolder,75] - SpringContextHolder [com.alps.common.oauth2.utils.SpringContextHolder@626edbe0]
11:44:22.091 [main] INFO  c.a.c.o.a.AutoConfiguration - [exceptionHandler,88] - AlpsGlobalExceptionHandler [com.alps.common.oauth2.exception.AlpsGlobalExceptionHandler@213a2fe3]
11:44:22.144 [main] INFO  c.a.c.o.a.AutoConfiguration - [snowflakeIdWorker,102] - SnowflakeIdGenerator [com.alps.common.oauth2.constants.SnowflakeIdGenerator@4dc10682]
11:44:22.181 [main] INFO  c.a.c.o.a.AutoConfiguration - [resourceAnnotationScan,116] - RequestMappingScan [com.alps.common.oauth2.constants.RequestMappingScan@53141d3f]
11:44:22.519 [main] INFO  c.a.c.o.a.AutoConfiguration - [alpsRestTemplate,132] - AlpsRestTemplate [com.alps.common.oauth2.constants.AlpsRestTemplate@6872201]
11:44:22.574 [main] INFO  c.a.c.o.a.AutoConfiguration - [restTemplate,141] - RestTemplate [org.springframework.web.client.RestTemplate@32eca9f4]
11:44:22.662 [main] INFO  c.a.c.o.a.MqAutoConfiguration - [apiResourceQueue,26] - Query cloud.scan.api.resource [Queue [name=cloud.scan.api.resource, durable=true, autoDelete=false, exclusive=false, arguments={}, actualName=cloud.scan.api.resource]]
11:44:22.694 [main] INFO  c.a.c.o.a.MqAutoConfiguration - [accessLogsQueue,33] - Query cloud.access.logs [Queue [name=cloud.access.logs, durable=true, autoDelete=false, exclusive=false, arguments={}, actualName=cloud.access.logs]]
11:44:30.075 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/error'], []
11:44:30.080 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/login2'], []
11:44:30.081 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/static/**'], []
11:44:30.082 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/v2/api-docs/**'], []
11:44:30.084 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/swagger-resources/**'], []
11:44:30.088 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/webjars/**'], []
11:44:30.089 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/favicon.png/'], []
11:44:30.091 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/favicon.ico'], []
11:44:30.298 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11f8d64, org.springframework.security.web.context.SecurityContextPersistenceFilter@4170ee0f, org.springframework.security.web.header.HeaderWriterFilter@6193340e, org.springframework.security.web.authentication.logout.LogoutFilter@2c226db0, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@3ad9f06a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@453c10c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1bb1ba54, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4baf3987, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@10f03ab0, org.springframework.security.web.session.SessionManagementFilter@2c51ff83, org.springframework.security.web.access.ExceptionTranslationFilter@962e03a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@25699129]
11:44:30.364 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@7d91e9c9, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1d9db780, org.springframework.security.web.context.SecurityContextPersistenceFilter@6e5dc02d, org.springframework.security.web.header.HeaderWriterFilter@aad1270, org.springframework.web.filter.CharacterEncodingFilter@759fe679, org.springframework.security.web.authentication.logout.LogoutFilter@473ee461, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@42ae0fcf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4398d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e4f5062, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1c93f349, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7056cda8, org.springframework.security.web.session.SessionManagementFilter@7e64b248, org.springframework.security.web.access.ExceptionTranslationFilter@623e578b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5b115d71]
11:44:30.394 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74a29300, org.springframework.security.web.context.SecurityContextPersistenceFilter@3552eb5b, org.springframework.security.web.header.HeaderWriterFilter@6b1381fc, org.springframework.security.web.csrf.CsrfFilter@69c413f7, org.springframework.security.web.authentication.logout.LogoutFilter@24e63b9f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@52a9c251, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5973d3ec, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@340fd670, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5eace68f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4fb53b76, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38de4f1d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@282831ea, org.springframework.security.web.session.SessionManagementFilter@48b53f3d, org.springframework.security.web.access.ExceptionTranslationFilter@43c73b5c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39df2652]
11:44:30.409 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@511cc6fc, org.springframework.security.web.context.SecurityContextPersistenceFilter@420307f9, org.springframework.security.web.header.HeaderWriterFilter@745d399a, org.springframework.security.web.csrf.CsrfFilter@199d1fb7, org.springframework.security.web.authentication.logout.LogoutFilter@1e7f312, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@417c9b17, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5b810b54, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@216906a0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@17d13926, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@630e5803, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7e822c11, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4e885b9, org.springframework.security.web.session.SessionManagementFilter@3392d69b, org.springframework.security.web.access.ExceptionTranslationFilter@32b273c1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@127c5f20]
11:44:33.406 [main] INFO  o.s.b.a.e.w.EndpointLinksResolver - [<init>,58] - Exposing 24 endpoint(s) beneath base path '/actuator'
11:44:37.539 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBusInput' has 1 subscriber(s).
11:44:40.116 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel nullChannel
11:44:40.239 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBusInput
11:44:40.647 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel errorChannel
11:44:40.858 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBusOutput
11:44:40.927 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerHandler,785] - Registering MessageHandler errorLogger
11:44:41.050 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerHandler,785] - Registering MessageHandler org.springframework.cloud.stream.binding.StreamListenerMessageHandler@6b5df313
11:44:41.594 [main] INFO  o.s.i.e.EventDrivenConsumer - [logComponentSubscriptionEvent,107] - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
11:44:41.599 [main] INFO  o.s.i.c.PublishSubscribeChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.errorChannel' has 1 subscriber(s).
11:44:41.602 [main] INFO  o.s.i.e.EventDrivenConsumer - [start,159] - started _org.springframework.integration.errorLogger
11:44:44.496 [main] INFO  o.s.a.r.c.CachingConnectionFactory - [createBareConnection,460] - Attempting to connect to: [localhost:5672]
11:44:46.721 [main] INFO  o.s.a.r.c.CachingConnectionFactory - [createBareConnection,496] - Created new connection: rabbitConnectionFactory#3b18009f:0/SimpleConnection@1bbbede1 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 61643]
11:44:47.327 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBusOutput' has 1 subscriber(s).
11:44:47.432 [main] INFO  o.s.c.n.e.InstanceInfoFactory - [create,72] - Setting initial instance status as: STARTING
11:44:47.766 [main] INFO  c.n.d.DiscoveryClient - [<init>,365] - Initializing Eureka in region us-east-1
11:44:48.754 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,70] - Using JSON encoding codec LegacyJacksonJson
11:44:48.759 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,71] - Using JSON decoding codec LegacyJacksonJson
11:44:49.720 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,80] - Using XML encoding codec XStreamXml
11:44:49.737 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,81] - Using XML decoding codec XStreamXml
11:44:51.431 [main] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
11:44:51.732 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,976] - Disable delta property : false
11:44:51.734 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,977] - Single vip registry refresh property : null
11:44:51.739 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,978] - Force full registry fetch : false
11:44:51.740 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,979] - Application is null : false
11:44:51.744 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,980] - Registered Applications size is zero : true
11:44:51.745 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,982] - Application version is -1: true
11:44:51.749 [main] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1065] - Getting all instance registry info from the eureka server
11:44:59.068 [main] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1074] - The response status is 200
11:44:59.084 [main] INFO  c.n.d.DiscoveryClient - [initScheduledTasks,1288] - Starting heartbeat executor: renew interval is: 30
11:44:59.158 [main] INFO  c.n.d.InstanceInfoReplicator - [<init>,60] - InstanceInfoReplicator onDemand update allowed rate per min is 4
11:44:59.202 [main] INFO  c.n.d.DiscoveryClient - [<init>,465] - Discovery Client initialized at timestamp 1590983099197 with initial instances count: 0
11:44:59.224 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - [register,41] - Registering application OAUTH2-ADMIN with eureka with status UP
11:44:59.236 [main] INFO  c.n.d.DiscoveryClient - [notify,1323] - Saw local status change event StatusChangeEvent [timestamp=1590983099236, current=UP, previous=STARTING]
11:44:59.377 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient - [register,844] - DiscoveryClient_OAUTH2-ADMIN/oauth2-admin: registering service...
11:44:59.553 [main] INFO  o.s.c.s.b.r.p.RabbitExchangeQueueProvisioner - [doProvisionConsumerDestination,168] - declaring queue for inbound: springCloudBus.anonymous.4ueSDfPkSOmPXMQsyR-hIw, bound to: springCloudBus
11:45:00.045 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBus.anonymous.4ueSDfPkSOmPXMQsyR-hIw.errors
11:45:00.999 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient - [register,853] - DiscoveryClient_OAUTH2-ADMIN/oauth2-admin - registration status: 204
11:45:01.000 [main] INFO  o.s.c.s.b.BinderErrorChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBus.anonymous.4ueSDfPkSOmPXMQsyR-hIw.errors' has 1 subscriber(s).
11:45:01.019 [main] INFO  o.s.c.s.b.BinderErrorChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBus.anonymous.4ueSDfPkSOmPXMQsyR-hIw.errors' has 2 subscriber(s).
11:45:01.531 [main] INFO  o.s.i.a.i.AmqpInboundChannelAdapter - [start,159] - started inbound.springCloudBus.anonymous.4ueSDfPkSOmPXMQsyR-hIw
11:45:01.755 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8500"]
11:45:02.171 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [start,202] - Tomcat started on port(s): 8500 (http) with context path ''
11:45:02.178 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - [onApplicationEvent,145] - Updating port to 8500
11:45:02.186 [main] INFO  c.a.o.u.a.UaaAdminApplication - [logStarted,59] - Started UaaAdminApplication in 121.242 seconds (JVM running for 135.644)
11:45:29.130 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,976] - Disable delta property : false
11:45:29.134 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,977] - Single vip registry refresh property : null
11:45:29.138 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,978] - Force full registry fetch : false
11:45:29.139 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,979] - Application is null : false
11:45:29.142 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,980] - Registered Applications size is zero : true
11:45:29.143 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,982] - Application version is -1: false
11:45:29.147 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1065] - Getting all instance registry info from the eureka server
11:45:29.180 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1074] - The response status is 200
11:45:59.192 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,976] - Disable delta property : false
11:45:59.197 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,977] - Single vip registry refresh property : null
11:45:59.201 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,978] - Force full registry fetch : false
11:45:59.202 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,979] - Application is null : false
11:45:59.204 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,980] - Registered Applications size is zero : true
11:45:59.206 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [fetchRegistry,982] - Application version is -1: false
11:45:59.210 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1065] - Getting all instance registry info from the eureka server
11:45:59.406 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1074] - The response status is 200
11:49:51.832 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
11:54:51.896 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
11:59:51.960 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:04:52.024 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:09:52.087 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:14:52.150 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:19:52.213 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:24:52.277 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:29:52.340 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:34:52.403 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:39:52.466 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:44:52.530 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:49:52.595 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:54:52.658 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
12:59:52.721 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:04:52.785 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:09:52.848 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:14:52.911 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:19:52.976 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:22:27.343 [http-nio-8500-exec-3] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:22:27.350 [http-nio-8500-exec-3] INFO  o.s.w.s.DispatcherServlet - [initServletBean,524] - Initializing Servlet 'dispatcherServlet'
13:22:29.251 [http-nio-8500-exec-3] INFO  o.s.w.s.DispatcherServlet - [initServletBean,546] - Completed initialization in 1896 ms
13:22:46.639 [http-nio-8500-exec-3] INFO  c.n.c.ChainedDynamicProperty - [checkAndFlip,115] - Flipping property: oauth2-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
13:22:46.976 [http-nio-8500-exec-3] INFO  c.n.u.c.ShutdownEnabledTimer - [<init>,58] - Shutdown hook installed for: NFLoadBalancer-PingTimer-oauth2-server
13:22:46.981 [http-nio-8500-exec-3] INFO  c.n.l.BaseLoadBalancer - [initWithConfig,197] - Client: oauth2-server instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=oauth2-server,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
