13:36:36.634 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9d1bdb9d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:10.741 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.boot.autoconfigure.integration.IntegrationAutoConfiguration$IntegrationJmxConfiguration' of type [org.springframework.boot.autoconfigure.integration.IntegrationAutoConfiguration$IntegrationJmxConfiguration$$EnhancerBySpringCGLIB$$c7859eef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:10.936 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration' of type [org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration$$EnhancerBySpringCGLIB$$6d47bc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:11.163 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'mbeanServer' of type [com.sun.jmx.mbeanserver.JmxMBeanServer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:11.925 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9d1bdb9d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:17.769 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,90] - Tomcat initialized with port(s): 8500 (http)
13:37:18.043 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8500"]
13:37:18.172 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
13:37:18.176 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.21]
13:37:19.849 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
13:37:19.853 [main] INFO  o.s.w.c.ContextLoader - [prepareWebApplicationContext,283] - Root WebApplicationContext: initialization completed in 41530 ms
13:37:20.729 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
13:37:20.923 [main] INFO  c.n.c.DynamicPropertyFactory - [getInstance,281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6719f206
13:37:33.905 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,56] - Init DruidDataSource
13:37:36.456 [main] INFO  c.a.d.p.DruidDataSource - [init,991] - {dataSource-1} inited
13:37:39.596 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,171] - Initializing ExecutorService 'taskScheduler'
13:37:44.959 [main] INFO  c.a.c.o.a.FeignAutoConfiguration - [feignFormEncoder,30] - FeignSpringFormEncoder [com.alps.common.oauth2.autoconfig.FeignSpringFormEncoder@1cecd0a9]
13:37:45.043 [main] INFO  c.a.c.o.a.FeignAutoConfiguration - [feignRequestInterceptor,38] - FeignRequestInterceptor [com.alps.common.oauth2.feign.FeignRequestInterceptor@444720b7]
13:37:47.907 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
13:37:49.736 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,171] - Initializing ExecutorService 'applicationTaskExecutor'
13:37:50.985 [main] INFO  c.a.c.o.a.AutoConfiguration - [paginationInterceptor,48] - PaginationInterceptor [AbstractSqlParserHandler(sqlParserList=null, sqlParserFilter=null)]
13:37:51.075 [main] INFO  c.a.c.o.a.AutoConfiguration - [springContextHolder,75] - SpringContextHolder [com.alps.common.oauth2.utils.SpringContextHolder@58dd584a]
13:37:51.105 [main] INFO  c.a.c.o.a.AutoConfiguration - [exceptionHandler,88] - AlpsGlobalExceptionHandler [com.alps.common.oauth2.exception.AlpsGlobalExceptionHandler@40a360e6]
13:37:51.155 [main] INFO  c.a.c.o.a.AutoConfiguration - [snowflakeIdWorker,102] - SnowflakeIdGenerator [com.alps.common.oauth2.constants.SnowflakeIdGenerator@5ed6a36a]
13:37:51.188 [main] INFO  c.a.c.o.a.AutoConfiguration - [resourceAnnotationScan,116] - RequestMappingScan [com.alps.common.oauth2.constants.RequestMappingScan@7a7698f4]
13:37:51.513 [main] INFO  c.a.c.o.a.AutoConfiguration - [alpsRestTemplate,132] - AlpsRestTemplate [com.alps.common.oauth2.constants.AlpsRestTemplate@63bdf82d]
13:37:51.591 [main] INFO  c.a.c.o.a.AutoConfiguration - [restTemplate,141] - RestTemplate [org.springframework.web.client.RestTemplate@3dc70aa0]
13:37:51.685 [main] INFO  c.a.c.o.a.MqAutoConfiguration - [apiResourceQueue,26] - Query cloud.scan.api.resource [Queue [name=cloud.scan.api.resource, durable=true, autoDelete=false, exclusive=false, arguments={}, actualName=cloud.scan.api.resource]]
13:37:51.722 [main] INFO  c.a.c.o.a.MqAutoConfiguration - [accessLogsQueue,33] - Query cloud.access.logs [Queue [name=cloud.access.logs, durable=true, autoDelete=false, exclusive=false, arguments={}, actualName=cloud.access.logs]]
13:37:58.005 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/error'], []
13:37:58.011 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/login2'], []
13:37:58.017 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/static/**'], []
13:37:58.019 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/v2/api-docs/**'], []
13:37:58.020 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/swagger-resources/**'], []
13:37:58.026 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/webjars/**'], []
13:37:58.028 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/favicon.png/'], []
13:37:58.032 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: Ant [pattern='/favicon.ico'], []
13:37:58.309 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c739a9b, org.springframework.security.web.context.SecurityContextPersistenceFilter@749ebc39, org.springframework.security.web.header.HeaderWriterFilter@344db28d, org.springframework.security.web.authentication.logout.LogoutFilter@19fdcaba, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@6298dafb, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@64236be, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1f9af742, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@980ac1f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@299022a9, org.springframework.security.web.session.SessionManagementFilter@5a98983b, org.springframework.security.web.access.ExceptionTranslationFilter@297c0311, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1dade178]
13:37:58.370 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@44bbf5e3, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@613bebb9, org.springframework.security.web.context.SecurityContextPersistenceFilter@6b0bcea5, org.springframework.security.web.header.HeaderWriterFilter@3c82bcbd, org.springframework.web.filter.CharacterEncodingFilter@463e0b6a, org.springframework.security.web.authentication.logout.LogoutFilter@5e60e639, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@3b6b9981, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3aee72d8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5748638c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7e864a8c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2625eb84, org.springframework.security.web.session.SessionManagementFilter@776ae580, org.springframework.security.web.access.ExceptionTranslationFilter@23c3f787, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5a564a61]
13:37:58.392 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@284e68ae, org.springframework.security.web.context.SecurityContextPersistenceFilter@70290678, org.springframework.security.web.header.HeaderWriterFilter@4390b78f, org.springframework.security.web.csrf.CsrfFilter@57f8a3cf, org.springframework.security.web.authentication.logout.LogoutFilter@3b5d0c4d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5ebd3708, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3ce74930, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@456c6754, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7441eed3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c99419f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6a73b74c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72de1d86, org.springframework.security.web.session.SessionManagementFilter@230ea983, org.springframework.security.web.access.ExceptionTranslationFilter@4c821dc7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7ae2f5b6]
13:37:58.406 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1fd1deed, org.springframework.security.web.context.SecurityContextPersistenceFilter@76aab1e3, org.springframework.security.web.header.HeaderWriterFilter@2a64cb1f, org.springframework.security.web.csrf.CsrfFilter@2810d9, org.springframework.security.web.authentication.logout.LogoutFilter@70f5f6c7, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@375dc95c, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@537360e3, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@814b60b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@33ef701e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f9e32f2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@432e242d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@515a897c, org.springframework.security.web.session.SessionManagementFilter@3644d12a, org.springframework.security.web.access.ExceptionTranslationFilter@408f3054, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6b5f91a5]
13:38:01.018 [main] INFO  o.s.b.a.e.w.EndpointLinksResolver - [<init>,58] - Exposing 24 endpoint(s) beneath base path '/actuator'
13:38:04.364 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBusInput' has 1 subscriber(s).
13:38:05.316 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBusInput
13:38:05.992 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel errorChannel
13:38:06.272 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBusOutput
13:38:06.291 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel nullChannel
13:38:06.395 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerHandler,785] - Registering MessageHandler org.springframework.cloud.stream.binding.StreamListenerMessageHandler@6e211727
13:38:06.883 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerHandler,785] - Registering MessageHandler errorLogger
13:38:07.026 [main] INFO  o.s.i.e.EventDrivenConsumer - [logComponentSubscriptionEvent,107] - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
13:38:07.031 [main] INFO  o.s.i.c.PublishSubscribeChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.errorChannel' has 1 subscriber(s).
13:38:07.033 [main] INFO  o.s.i.e.EventDrivenConsumer - [start,159] - started _org.springframework.integration.errorLogger
13:38:09.476 [main] INFO  o.s.a.r.c.CachingConnectionFactory - [createBareConnection,460] - Attempting to connect to: [localhost:5672]
13:38:11.452 [main] INFO  o.s.a.r.c.CachingConnectionFactory - [createBareConnection,496] - Created new connection: rabbitConnectionFactory#7ee9920a:0/SimpleConnection@21845b36 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 2565]
13:38:11.880 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBusOutput' has 1 subscriber(s).
13:38:11.957 [main] INFO  o.s.c.n.e.InstanceInfoFactory - [create,72] - Setting initial instance status as: STARTING
13:38:12.256 [main] INFO  c.n.d.DiscoveryClient - [<init>,365] - Initializing Eureka in region us-east-1
13:38:12.966 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,70] - Using JSON encoding codec LegacyJacksonJson
13:38:12.970 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,71] - Using JSON decoding codec LegacyJacksonJson
13:38:13.730 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,80] - Using XML encoding codec XStreamXml
13:38:13.734 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - [<init>,81] - Using XML decoding codec XStreamXml
13:38:15.113 [main] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:38:15.434 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,976] - Disable delta property : false
13:38:15.436 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,977] - Single vip registry refresh property : null
13:38:15.441 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,978] - Force full registry fetch : false
13:38:15.443 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,979] - Application is null : false
13:38:15.451 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,980] - Registered Applications size is zero : true
13:38:15.452 [main] INFO  c.n.d.DiscoveryClient - [fetchRegistry,982] - Application version is -1: true
13:38:15.456 [main] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1065] - Getting all instance registry info from the eureka server
13:38:16.672 [main] INFO  c.n.d.DiscoveryClient - [getAndStoreFullRegistry,1074] - The response status is 200
13:38:16.690 [main] INFO  c.n.d.DiscoveryClient - [initScheduledTasks,1288] - Starting heartbeat executor: renew interval is: 30
13:38:16.705 [main] INFO  c.n.d.InstanceInfoReplicator - [<init>,60] - InstanceInfoReplicator onDemand update allowed rate per min is 4
13:38:16.772 [main] INFO  c.n.d.DiscoveryClient - [<init>,465] - Discovery Client initialized at timestamp 1590817096727 with initial instances count: 1
13:38:16.790 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - [register,41] - Registering application OAUTH2-ADMIN with eureka with status UP
13:38:16.796 [main] INFO  c.n.d.DiscoveryClient - [notify,1323] - Saw local status change event StatusChangeEvent [timestamp=1590817096796, current=UP, previous=STARTING]
13:38:16.817 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient - [register,844] - DiscoveryClient_OAUTH2-ADMIN/oauth2-admin: registering service...
13:38:16.934 [main] INFO  o.s.c.s.b.r.p.RabbitExchangeQueueProvisioner - [doProvisionConsumerDestination,168] - declaring queue for inbound: springCloudBus.anonymous.37mcvTboSi-Uf_QOd1cOBQ, bound to: springCloudBus
13:38:16.969 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient - [register,853] - DiscoveryClient_OAUTH2-ADMIN/oauth2-admin - registration status: 204
13:38:17.297 [main] INFO  o.s.i.m.IntegrationMBeanExporter - [registerChannel,767] - Registering MessageChannel springCloudBus.anonymous.37mcvTboSi-Uf_QOd1cOBQ.errors
13:38:18.203 [main] INFO  o.s.c.s.b.BinderErrorChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBus.anonymous.37mcvTboSi-Uf_QOd1cOBQ.errors' has 1 subscriber(s).
13:38:18.219 [main] INFO  o.s.c.s.b.BinderErrorChannel - [adjustCounterIfNecessary,64] - Channel 'oauth2-admin-1.springCloudBus.anonymous.37mcvTboSi-Uf_QOd1cOBQ.errors' has 2 subscriber(s).
13:38:18.563 [main] INFO  o.s.i.a.i.AmqpInboundChannelAdapter - [start,159] - started inbound.springCloudBus.anonymous.37mcvTboSi-Uf_QOd1cOBQ
13:38:18.756 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8500"]
13:38:19.489 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [start,202] - Tomcat started on port(s): 8500 (http) with context path ''
13:38:19.495 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - [onApplicationEvent,145] - Updating port to 8500
13:38:19.501 [main] INFO  c.a.o.u.a.UaaAdminApplication - [logStarted,59] - Started UaaAdminApplication in 118.255 seconds (JVM running for 128.879)
13:43:16.808 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:47:51.115 [http-nio-8500-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:47:51.120 [http-nio-8500-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,524] - Initializing Servlet 'dispatcherServlet'
13:47:51.190 [http-nio-8500-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,546] - Completed initialization in 63 ms
13:48:17.591 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:53:18.173 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
13:54:29.822 [http-nio-8500-exec-5] INFO  c.n.c.ChainedDynamicProperty - [checkAndFlip,115] - Flipping property: oauth2-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
13:54:30.132 [http-nio-8500-exec-5] INFO  c.n.u.c.ShutdownEnabledTimer - [<init>,58] - Shutdown hook installed for: NFLoadBalancer-PingTimer-oauth2-server
13:54:30.142 [http-nio-8500-exec-5] INFO  c.n.l.BaseLoadBalancer - [initWithConfig,197] - Client: oauth2-server instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=oauth2-server,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
13:54:30.251 [http-nio-8500-exec-5] INFO  c.n.l.DynamicServerListLoadBalancer - [enableAndInitLearnNewServersFeature,222] - Using serverListUpdater PollingServerListUpdater
13:54:30.729 [http-nio-8500-exec-5] INFO  c.n.c.ChainedDynamicProperty - [checkAndFlip,115] - Flipping property: oauth2-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
13:54:30.748 [http-nio-8500-exec-5] INFO  c.n.l.DynamicServerListLoadBalancer - [restOfInit,150] - DynamicServerListLoadBalancer for client oauth2-server initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=oauth2-server,current list of Servers=[vWHPC80DMZ0016.ECMMS.FOXCONN:8700],Load balancer stats=Zone stats: {defaultzone=[Zone:defaultzone;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:vWHPC80DMZ0016.ECMMS.FOXCONN:8700;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@4a630d7e
13:54:31.289 [PollingServerListUpdater-0] INFO  c.n.c.ChainedDynamicProperty - [checkAndFlip,115] - Flipping property: oauth2-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
13:58:18.743 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:03:19.250 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:08:19.706 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:13:20.791 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:18:23.712 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:23:25.143 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:28:26.053 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:33:26.763 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:38:27.422 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:43:28.053 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:48:28.659 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
14:53:29.264 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.a.ConfigClusterResolver - [getClusterEndpoints,43] - Resolving eureka endpoints via configuration
15:00:51.111 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8f800415] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:00:51.883 [main] INFO  c.a.o.u.a.UaaAdminApplication - [logStartupProfileInfo,646] - No active profile set, falling back to default profiles: default
15:01:04.516 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,244] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:01:04.576 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,126] - Bootstrapping Spring Data repositories in DEFAULT mode.
15:01:04.967 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,182] - Finished Spring Data repository scanning in 148ms. Found 0 repository interfaces.
15:01:09.502 [main] INFO  o.s.c.c.s.GenericScope - [setSerializationId,295] - BeanFactory id=5e9ebb9d-818b-3b2b-9814-557e407cdd72
